Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,Caged,Exp_Wild
DM16164,Sacramento,2/12/2016,2016,S,NA,NA,uncaged,Wild
NP16003,Yolo Bypass,3/7/2016,2016,S,NA,NA,uncaged,Experimental
NP16004,Yolo Bypass,3/7/2016,2016,S,NA,NA,uncaged,Experimental
NP16005,Yolo Bypass,3/7/2016,2016,S,-3.68,-34.43,uncaged,Experimental
NP16007,Yolo Bypass,2/16/2016,2016,S,-3.23,-35.06,uncaged,Experimental
NP16010,Yolo Bypass,2/15/2016,2016,S,-1.18,-34.66,uncaged,Experimental
NP16011,Yolo Bypass,2/22/2016,2016,S,-4.27,-35.02,uncaged,Experimental
NP16012,Yolo Bypass,2/22/2016,2016,S,-3.36,-31.38,uncaged,Experimental
NP16013,Yolo Bypass,2/22/2016,2016,S,-5.13,-34.79,uncaged,Experimental
NP16014,Yolo Bypass,2/22/2016,2016,S,-4.81,-34.64,uncaged,Experimental
NP16015,Yolo Bypass,2/22/2016,2016,S,-4.29,-34.9,uncaged,Experimental
NP16016,Yolo Bypass,2/9/2016,2016,S,-0.54,-34.73,uncaged,Experimental
NP16021,Yolo Bypass,2/29/2016,2016,S,-4.01,-38.02,uncaged,Experimental
NP16022,Yolo Bypass,2/29/2016,2016,S,-4.68,-38.42,uncaged,Experimental
NP16024,Yolo Bypass,2/29/2016,2016,S,-4.62,-36.53,uncaged,Experimental
NP16025,Yolo Bypass,2/29/2016,2016,S,-4.84,-36.87,uncaged,Experimental
NP16026,Yolo Bypass,3/10/2016,2016,S,-3.95,-35.03,uncaged,Experimental
NP16026,Yolo Bypass,3/10/2016,2016,S,-6.13,-37,uncaged,Experimental
NP16027,Yolo Bypass,3/10/2016,2016,S,-5.59,-37.11,uncaged,Experimental
NP16027,Yolo Bypass,3/10/2016,2016,S,-6.03,-37.38,uncaged,Experimental
NP16028,Yolo Bypass,3/10/2016,2016,S,-4.52,-35.62,uncaged,Experimental
NP16029,Yolo Bypass,3/10/2016,2016,S,-4.64,-36.59,uncaged,Experimental
NP16034,Yolo Bypass,3/11/2016,2016,S,-3.24,-29.42,uncaged,Experimental
NP16035,Yolo Bypass,3/11/2016,2016,S,-3.9,-29.87,uncaged,Experimental
NP16035,Yolo Bypass,3/11/2016,2016,S,-3.43,-28.62,uncaged,Experimental
NP16036,Yolo Bypass,3/11/2016,2016,S,-3.11,-29.96,uncaged,Experimental
NP16037,Yolo Bypass,3/11/2016,2016,S,-4.87,-31.47,uncaged,Experimental
NP16037,Yolo Bypass,3/11/2016,2016,S,-4.69,-31.39,uncaged,Experimental
NP16037,Yolo Bypass,3/11/2016,2016,S,-5.18,-32.29,uncaged,Experimental
NP16038,Yolo Bypass,4/7/2016,2016,S,-2.29,-29.55,uncaged,Wild
NP16038,Yolo Bypass,4/7/2016,2016,S,1.34,-30.01,uncaged,Wild
NP16039,Yolo Bypass,4/6/2016,2016,S,NA,NA,uncaged,Wild
NP16040,Yolo Bypass,3/29/2016,2016,S,-1.89,-31.42,uncaged,Wild
NP16041,Yolo Bypass,4/1/2016,2016,S,-2.07,-31.78,uncaged,Wild
NP16042,Yolo Bypass,4/1/2016,2016,S,1.52,-31.57,uncaged,Wild
NP16043,Yolo Bypass,4/1/2016,2016,S,-2.17,-31.77,uncaged,Wild
NP16044,Yolo Bypass,4/5/2016,2016,S,-0.48,-30.51,uncaged,Wild
NP16045,Yolo Bypass,4/5/2016,2016,S,-3.04,-31.21,uncaged,Wild
NP16046,Yolo Bypass,4/4/2016,2016,S,NA,NA,uncaged,Wild
NP16047,Yolo Bypass,4/6/2016,2016,S,NA,NA,uncaged,Wild
NP16048,Yolo Bypass,4/5/2016,2016,S,-2.77,-30.24,uncaged,Wild
NP16049,Yolo Bypass,4/7/2016,2016,S,NA,NA,uncaged,Wild
NP16050,Yolo Bypass,4/7/2016,2016,S,NA,NA,uncaged,Wild
NP16051,Yolo Bypass,4/6/2016,2016,S,-1.32,-30.37,uncaged,Wild
NP16052,Yolo Bypass,4/7/2016,2016,S,NA,NA,uncaged,Wild
NP16053,Yolo Bypass,4/6/2016,2016,S,-2.08,-30.08,uncaged,Wild
NP16054,Yolo Bypass,4/7/2016,2016,S,NA,NA,uncaged,Wild
NP16055,Yolo Bypass,4/7/2016,2016,S,NA,NA,uncaged,Wild
NP16056,Yolo Bypass,4/6/2016,2016,S,-2.51,-30.32,uncaged,Wild
NP16057,Yolo Bypass,4/6/2016,2016,S,-1.62,-31.07,uncaged,Wild
NP16058,Yolo Bypass,4/6/2016,2016,S,NA,NA,uncaged,Wild
NP16100,Yolo Bypass,2/29/2016,2016,S,-4.09,-34.94,uncaged,Experimental
NP16102,Yolo Bypass,3/7/2016,2016,S,-5.09,-35.03,uncaged,Experimental
NP16103,Yolo Bypass,3/7/2016,2016,S,-1.95,-37.24,uncaged,Experimental
NP16104,Yolo Bypass,2/16/2016,2016,S,-2.86,-34.56,uncaged,Experimental
NP16105,Yolo Bypass,2/16/2016,2016,S,NA,NA,uncaged,Experimental
NP16110,Yolo Bypass,2/9/2016,2016,S,NA,NA,uncaged,Experimental
NP16111,Yolo Bypass,2/9/2016,2016,S,NA,NA,uncaged,Experimental
NP16112,Yolo Bypass,2/9/2016,2016,S,NA,NA,uncaged,Experimental
NP16114,Yolo Bypass,3/10/2016,2016,S,-6.24,-36.5,uncaged,Experimental
NP16115,Yolo Bypass,2/16/2016,2016,S,-3.3,-34.34,uncaged,Experimental
NP16201,Sacramento,4/18/2016,2016,S,1.13,-28.66,caged,Experimental
NP16205,Sacramento,4/18/2016,2016,S,3.38,-24.82,caged,Experimental
NP16207,Sacramento,4/18/2016,2016,S,0.92,-29.06,caged,Experimental
NP16208,Sacramento,4/18/2016,2016,S,1.56,-28.76,caged,Experimental
NP16209,Sacramento,4/18/2016,2016,S,2.19,-28.83,caged,Experimental
DM17001,Sacramento,4/21/2017,2017,M,10.8,-21.97,uncaged,Wild
DM17002,Sacramento,2/22/2017,2017,M,8.2,-22.38,uncaged,Wild
DM17007,Sacramento,2/16/2017,2017,M,5.9,-22.98,uncaged,Wild
DM17008,Sacramento,2/17/2017,2017,M,6.8,-25.33,uncaged,Wild
DM17014,Sacramento,3/3/2017,2017,M,5,-25.06,uncaged,Wild
DM17016,Sacramento,3/1/2017,2017,M,8.1,-23.43,uncaged,Wild
DM17017,Sacramento,3/1/2017,2017,M,5.7,-24.3,uncaged,Wild
DM17018,Sacramento,3/3/2017,2017,M,9.4,-23.27,uncaged,Wild
DM17019,Sacramento,3/6/2017,2017,M,7.4,-25.8,uncaged,Wild
DM17020,Sacramento,4/16/2017,2017,M,12.7,-20.24,uncaged,Wild
DM17021,Sacramento,4/16/2017,2017,M,13.2,-20.3,uncaged,Wild
DM17022,Sacramento,4/6/2017,2017,M,2,-24.97,uncaged,Wild
DM17023,Sacramento,4/6/2017,2017,M,2.3,-24.74,uncaged,Wild
DM17024,Sacramento,3/12/2017,2017,M,7.8,-23.06,uncaged,Wild
DM17025,Sacramento,3/9/2017,2017,M,5.4,-26.76,uncaged,Wild
DM17026,Sacramento,3/25/2017,2017,M,4.4,-29.18,uncaged,Wild
DM17027,Sacramento,4/28/2017,2017,M,7.9,-21.33,uncaged,Wild
DM17028,Sacramento,4/28/2017,2017,M,3.2,-22.62,uncaged,Wild
DM17029,Sacramento,3/9/2017,2017,M,5.4,-26.86,uncaged,Wild
DM17030,Sacramento,4/6/2017,2017,M,10.4,-21.22,uncaged,Wild
DM17032,Sacramento,3/12/2017,2017,M,5.8,-24.71,uncaged,Wild
DM17033,Sacramento,2/18/2017,2017,M,15.6,-18.27,uncaged,Wild
DM17034,Sacramento,4/26/2017,2017,M,8.8,-21.75,uncaged,Wild
DM17035,Sacramento,4/21/2017,2017,M,11.2,-21.55,uncaged,Wild
DM17037,Sacramento,4/24/2017,2017,M,-0.8,-27.5,uncaged,Wild
DM17039,Sacramento,2/27/2017,2017,M,4,-22.73,uncaged,Wild
DM17040,Sacramento,3/26/2017,2017,M,9.3,-22.53,uncaged,Wild
DM17043,Sacramento,3/27/2017,2017,M,4,-23.67,uncaged,Wild
DM17044,Sacramento,3/24/2017,2017,M,13.4,-19.79,uncaged,Wild
DM17045,Sacramento,4/21/2017,2017,M,11.3,-22.08,uncaged,Wild
DM17047,Sacramento,3/28/2017,2017,M,13.7,-19.94,uncaged,Wild
DM17048,Sacramento,3/29/2017,2017,M,4.5,-26.58,uncaged,Wild
DM17049,Sacramento,3/29/2017,2017,M,4.4,-27.62,uncaged,Wild
DM17050,Sacramento,5/1/2017,2017,M,10.5,-21.7,uncaged,Wild
DM17052,Sacramento,4/12/2017,2017,M,12.5,-20.2,uncaged,Wild
DM17053,Sacramento,3/16/2017,2017,M,6.7,-24.02,uncaged,Wild
DM17054,Sacramento,5/5/2017,2017,M,-1.5,-25.02,uncaged,Wild
DM17055,Sacramento,4/14/2017,2017,M,12.6,-19.93,uncaged,Wild
DM17056,Sacramento,4/12/2017,2017,M,13.4,-20.11,uncaged,Wild
DM17057,Sacramento,3/16/2017,2017,M,3.7,-24.91,uncaged,Wild
DM17058,Sacramento,3/21/2017,2017,M,4.7,-25.52,uncaged,Wild
DM17059,Sacramento,2/12/2017,2017,M,7.2,-20.01,uncaged,Wild
DM17060,Sacramento,2/28/2017,2017,M,7.7,-22.6,uncaged,Wild
DM17003,Sacramento,2/1/2017,2017,M,15.9,-18.8,uncaged,Wild
DM17005,Sacramento,2/3/2017,2017,M,16.6,-18.92,uncaged,Wild
DM17011,Sacramento,2/14/2017,2017,M,6.2,-22.16,uncaged,Wild
DM17062,Sacramento,4/14/2017,2017,M,5,-22.41,uncaged,Wild
DM17063,Sacramento,2/22/2017,2017,M,8.8,-22.06,uncaged,Wild
DM17065,Sacramento,3/16/2017,2017,M,3.8,-24.95,uncaged,Wild
DM17066,Sacramento,2/14/2017,2017,M,10.9,-21.25,uncaged,Wild
DM17067,Sacramento,5/1/2017,2017,M,7.7,-23.4,uncaged,Wild
DM17001,Sacramento,4/21/2017,2017,S,1.98,-30.41,uncaged,Wild
DM17002,Sacramento,2/22/2017,2017,S,0.25,-29.21,uncaged,Wild
DM17007,Sacramento,2/16/2017,2017,S,-0.3,-26.86,uncaged,Wild
DM17008,Sacramento,2/17/2017,2017,S,3.42,-27.57,uncaged,Wild
DM17014,Sacramento,3/3/2017,2017,S,2.22,-28.26,uncaged,Wild
DM17016,Sacramento,3/1/2017,2017,S,1.53,-27.08,uncaged,Wild
DM17017,Sacramento,3/1/2017,2017,S,0.69,-27.62,uncaged,Wild
DM17018,Sacramento,3/3/2017,2017,S,1.64,-26.9,uncaged,Wild
DM17019,Sacramento,3/6/2017,2017,S,1.74,-28.47,uncaged,Wild
DM17020,Sacramento,4/16/2017,2017,S,2.87,-29.73,uncaged,Wild
DM17021,Sacramento,4/16/2017,2017,S,2.75,-26.61,uncaged,Wild
DM17022,Sacramento,4/6/2017,2017,S,0.09,-29.01,uncaged,Wild
DM17023,Sacramento,4/6/2017,2017,S,1.18,-29.74,uncaged,Wild
DM17024,Sacramento,3/12/2017,2017,S,0.87,-29.21,uncaged,Wild
DM17025,Sacramento,3/9/2017,2017,S,1.6,-27.96,uncaged,Wild
DM17026,Sacramento,3/25/2017,2017,S,2.09,-30.24,uncaged,Wild
DM17027,Sacramento,4/28/2017,2017,S,1.46,-31.1,uncaged,Wild
DM17028,Sacramento,4/28/2017,2017,S,-0.28,-30.16,uncaged,Wild
DM17029,Sacramento,3/9/2017,2017,S,1.27,-28.01,uncaged,Wild
DM17030,Sacramento,4/6/2017,2017,S,2.82,-29.51,uncaged,Wild
DM17032,Sacramento,3/12/2017,2017,S,2.72,-29.65,uncaged,Wild
DM17033,Sacramento,2/18/2017,2017,S,2.71,-28.87,uncaged,Wild
DM17034,Sacramento,4/26/2017,2017,S,1.21,-30.36,uncaged,Wild
DM17035,Sacramento,4/21/2017,2017,S,1.02,-30.71,uncaged,Wild
DM17037,Sacramento,4/24/2017,2017,S,1.5,-30.64,uncaged,Wild
DM17039,Sacramento,2/27/2017,2017,S,0.24,-27.44,uncaged,Wild
DM17040,Sacramento,3/26/2017,2017,S,5.82,-31.24,uncaged,Wild
DM17043,Sacramento,3/27/2017,2017,S,1.21,-29.22,uncaged,Wild
DM17044,Sacramento,3/24/2017,2017,S,3.28,-28.6,uncaged,Wild
DM17045,Sacramento,4/21/2017,2017,S,4.16,-29.98,uncaged,Wild
DM17047,Sacramento,3/28/2017,2017,S,3.62,-28.23,uncaged,Wild
DM17048,Sacramento,3/29/2017,2017,S,1.77,-30.06,uncaged,Wild
DM17049,Sacramento,3/29/2017,2017,S,3.74,-30.22,uncaged,Wild
DM17050,Sacramento,5/1/2017,2017,S,1.34,-29.78,uncaged,Wild
DM17052,Sacramento,4/12/2017,2017,S,3.18,-26.72,uncaged,Wild
DM17053,Sacramento,3/16/2017,2017,S,5.72,-28.65,uncaged,Wild
DM17054,Sacramento,5/5/2017,2017,S,0.85,-30.23,uncaged,Wild
DM17055,Sacramento,4/14/2017,2017,S,3.61,-28.24,uncaged,Wild
DM17056,Sacramento,4/12/2017,2017,S,4.64,-28.9,uncaged,Wild
DM17057,Sacramento,3/16/2017,2017,S,3.13,-28.34,uncaged,Wild
DM17058,Sacramento,3/21/2017,2017,S,2.61,-29.28,uncaged,Wild
DM17059,Sacramento,2/12/2017,2017,S,1.4,-24.74,uncaged,Wild
DM17060,Sacramento,2/28/2017,2017,S,0.33,-27.27,uncaged,Wild
DM17003,Sacramento,2/1/2017,2017,S,16.67,-23.84,uncaged,Wild
DM17005,Sacramento,2/3/2017,2017,S,5.06,-27.06,uncaged,Wild
DM17011,Sacramento,2/14/2017,2017,S,1.76,-29.49,uncaged,Wild
DM17062,Sacramento,4/14/2017,2017,S,1.89,-28.84,uncaged,Wild
DM17063,Sacramento,2/22/2017,2017,S,1.66,-28.87,uncaged,Wild
DM17065,Sacramento,3/16/2017,2017,S,6.12,-28.76,uncaged,Wild
DM17066,Sacramento,2/14/2017,2017,S,6.34,-28.27,uncaged,Wild
DM17067,Sacramento,5/1/2017,2017,S,1.49,-29.35,uncaged,Wild
NP17001,Yolo Bypass,3/16/2017,2017,M,1,-27.97,uncaged,Wild
NP17002,Yolo Bypass,3/16/2017,2017,M,1,-28.79,uncaged,Wild
NP17003,Yolo Bypass,3/16/2017,2017,M,1.4,-29.92,uncaged,Wild
NP17004,Yolo Bypass,3/16/2017,2017,M,0.8,-30.08,uncaged,Wild
NP17005,Yolo Bypass,3/16/2017,2017,M,0.3,-29.88,uncaged,Wild
NP17006,Yolo Bypass,4/6/2017,2017,M,-0.5,-27.03,uncaged,Wild
NP17007,Yolo Bypass,4/6/2017,2017,M,7.4,-22.16,uncaged,Wild
NP17008,Yolo Bypass,4/6/2017,2017,M,-0.9,-27.35,uncaged,Wild
NP17009,Yolo Bypass,4/6/2017,2017,M,7.2,-22.16,uncaged,Wild
NP17010,Yolo Bypass,4/6/2017,2017,M,-1.1,-26.08,uncaged,Wild
NP17011,Yolo Bypass,4/6/2017,2017,M,7.1,-21.82,uncaged,Wild
NP17012,Yolo Bypass,4/6/2017,2017,M,8.9,-21,uncaged,Wild
NP17016,Yolo Bypass,4/5/2017,2017,M,8,-22.45,uncaged,Wild
NP17017,Yolo Bypass,4/5/2017,2017,M,-1.4,-28.5,uncaged,Wild
NP17018,Yolo Bypass,4/5/2017,2017,M,-1.1,-28.26,uncaged,Wild
NP17019,Yolo Bypass,4/6/2017,2017,M,-1.6,-27.59,uncaged,Wild
NP17020,Yolo Bypass,4/6/2017,2017,M,0.4,-26.59,uncaged,Wild
NP17021,Yolo Bypass,4/5/2017,2017,M,-2.1,-28.16,uncaged,Wild
NP17022,Yolo Bypass,4/5/2017,2017,M,-1.7,-29.56,uncaged,Wild
NP17023,Yolo Bypass,4/6/2017,2017,M,-1.4,-28.2,uncaged,Wild
NP17024,Yolo Bypass,4/5/2017,2017,M,-1.7,-27.26,uncaged,Wild
NP17025,Yolo Bypass,4/5/2017,2017,M,-0.3,-25.59,uncaged,Wild
NP17026,Yolo Bypass,4/5/2017,2017,M,-1.8,-26.84,uncaged,Wild
NP17027,Yolo Bypass,4/5/2017,2017,M,-0.4,-28.08,uncaged,Wild
NP17028,Yolo Bypass,4/5/2017,2017,M,9.3,-22.22,uncaged,Wild
NP17029,Yolo Bypass,4/5/2017,2017,M,-1.7,-28.22,uncaged,Wild
NP17030,Yolo Bypass,4/6/2017,2017,M,-1.6,-28.5,uncaged,Wild
NP17031,Yolo Bypass,4/26/2017,2017,M,2.7,-26.23,caged,Experimental
NP17032,Yolo Bypass,4/26/2017,2017,M,3.7,-25.3,caged,Experimental
NP17033,Yolo Bypass,4/26/2017,2017,M,1.7,-25.78,caged,Experimental
NP17034,Yolo Bypass,4/26/2017,2017,M,1.4,-27.25,caged,Experimental
NP17035,Yolo Bypass,4/26/2017,2017,M,3.9,-25.36,caged,Experimental
NP17001,Yolo Bypass,3/16/2017,2017,S,-1.35,-36.64,uncaged,Wild
NP17002,Yolo Bypass,3/16/2017,2017,S,-1.33,-30.33,uncaged,Wild
NP17003,Yolo Bypass,3/16/2017,2017,S,-2.89,-38.02,uncaged,Wild
NP17004,Yolo Bypass,3/16/2017,2017,S,-3.54,-37.68,uncaged,Wild
NP17005,Yolo Bypass,3/16/2017,2017,S,-2.41,-37.27,uncaged,Wild
NP17006,Yolo Bypass,4/6/2017,2017,S,-3.17,-31.6,uncaged,Wild
NP17007,Yolo Bypass,4/6/2017,2017,S,1.3,-25.54,uncaged,Wild
NP17008,Yolo Bypass,4/6/2017,2017,S,-1.69,-30.46,uncaged,Wild
NP17009,Yolo Bypass,4/6/2017,2017,S,1.25,-26.31,uncaged,Wild
NP17010,Yolo Bypass,4/6/2017,2017,S,-2.25,-27.26,uncaged,Wild
NP17011,Yolo Bypass,4/6/2017,2017,S,-1.25,-28.41,uncaged,Wild
NP17012,Yolo Bypass,4/6/2017,2017,S,-1.84,-28.59,uncaged,Wild
NP17016,Yolo Bypass,4/5/2017,2017,S,-1.11,-32.91,uncaged,Wild
NP17017,Yolo Bypass,4/5/2017,2017,S,-2.76,-34.48,uncaged,Wild
NP17018,Yolo Bypass,4/5/2017,2017,S,-2.2,-33.05,uncaged,Wild
NP17019,Yolo Bypass,4/6/2017,2017,S,-2.07,-31.58,uncaged,Wild
NP17020,Yolo Bypass,4/6/2017,2017,S,-3.08,-31.65,uncaged,Wild
NP17021,Yolo Bypass,4/5/2017,2017,S,-2.76,-33.48,uncaged,Wild
NP17022,Yolo Bypass,4/5/2017,2017,S,-2.87,-33.85,uncaged,Wild
NP17023,Yolo Bypass,4/6/2017,2017,S,-2.24,-31.7,uncaged,Wild
NP17024,Yolo Bypass,4/5/2017,2017,S,-2.55,-32.74,uncaged,Wild
NP17025,Yolo Bypass,4/5/2017,2017,S,-1.38,-31.94,uncaged,Wild
NP17026,Yolo Bypass,4/5/2017,2017,S,-1.23,-33.14,uncaged,Wild
NP17027,Yolo Bypass,4/5/2017,2017,S,-1.89,-33.03,uncaged,Wild
NP17028,Yolo Bypass,4/5/2017,2017,S,-1.21,-32.45,uncaged,Wild
NP17029,Yolo Bypass,4/5/2017,2017,S,-2.6,-32.21,uncaged,Wild
NP17030,Yolo Bypass,4/6/2017,2017,S,-2.32,-32.25,uncaged,Wild
NP17031,Yolo Bypass,4/26/2017,2017,S,-2.74,-27.58,caged,Experimental
NP17032,Yolo Bypass,4/26/2017,2017,S,-1.62,-28.31,caged,Experimental
NP17033,Yolo Bypass,4/26/2017,2017,S,-1.73,-28.8,caged,Experimental
NP17034,Yolo Bypass,4/26/2017,2017,S,-1.73,-28.73,caged,Experimental
NP17035,Yolo Bypass,4/26/2017,2017,S,-1.98,-28.65,caged,Experimental
NP16011,Yolo Bypass,2/22/2016,2016,F,-1.7,NA,uncaged,Wild
NP16012,Yolo Bypass,2/22/2016,2016,F,-1.8,NA,uncaged,Wild
NP16013,Yolo Bypass,2/22/2016,2016,F,-2.8,NA,uncaged,Wild
NP16014,Yolo Bypass,2/22/2016,2016,F,-3,NA,uncaged,Wild
NP16015,Yolo Bypass,2/22/2016,2016,F,-2.4,NA,uncaged,Wild
NP16021,Yolo Bypass,2/29/2016,2016,F,-3.7,NA,uncaged,Wild
NP16022,Yolo Bypass,2/29/2016,2016,F,-3.4,NA,uncaged,Wild
NP16023,Yolo Bypass,2/29/2016,2016,F,-2.6,NA,uncaged,Wild
NP16024,Yolo Bypass,2/29/2016,2016,F,-2.9,NA,uncaged,Wild
NP16025,Yolo Bypass,2/29/2016,2016,F,-3.6,NA,uncaged,Wild
NP16001,Yolo Bypass,3/7/2016,2016,F,-4.8,NA,uncaged,Wild
NP16002,Yolo Bypass,3/7/2016,2016,F,-4.9,NA,uncaged,Wild
NP16003,Yolo Bypass,3/7/2016,2016,F,-4.6,NA,uncaged,Wild
NP16004,Yolo Bypass,3/7/2016,2016,F,-5.1,NA,uncaged,Wild
NP16005,Yolo Bypass,3/7/2016,2016,F,-5,NA,uncaged,Wild
NP16026,Yolo Bypass,3/10/2016,2016,F,-6.5,NA,uncaged,Wild
NP16027,Yolo Bypass,3/10/2016,2016,F,-6,NA,uncaged,Wild
NP16028,Yolo Bypass,3/10/2016,2016,F,-6.4,NA,uncaged,Wild
NP16029,Yolo Bypass,3/10/2016,2016,F,-5.6,NA,uncaged,Wild
NP16030,Yolo Bypass,3/10/2016,2016,F,-6.5,NA,uncaged,Wild
NP17200,Sacramento,4/26/2017,2017,M,6.1,-24.86,caged,Experimental
NP17201,Sacramento,4/26/2017,2017,M,7.5,-23.81,caged,Experimental
NP17202,Sacramento,4/26/2017,2017,M,6.3,-24.85,caged,Experimental
NP17203,Sacramento,4/26/2017,2017,M,8.6,-23.32,caged,Experimental
NP17204,Sacramento,4/26/2017,2017,M,5.9,-24.33,caged,Experimental
NP17200,Sacramento,4/26/2017,2017,S,2.55,-30.92,caged,Experimental
NP17201,Sacramento,4/26/2017,2017,S,1.49,-29.94,caged,Experimental
NP17202,Sacramento,4/26/2017,2017,S,2.01,-31.07,caged,Experimental
NP17203,Sacramento,4/26/2017,2017,S,2.28,-31.02,caged,Experimental
NP17204,Sacramento,4/26/2017,2017,S,1.8,-30.29,caged,Experimental
