Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,d15N,Caged,WDN,R_FP,week ,Day,subsite,,,,
DM15002,Sacramento,5/13/2015,2015,M,-1.2,-24.7,9.52,uncaged,dry,River,0,NA,River,,,,
DM15006,Sacramento,5/16/2015,2015,M,4,-26.21,10.49,uncaged,dry,River,0,NA,River,,,,
DM15009,Sacramento,4/10/2015,2015,M,2.2,-25.95,11.6,uncaged,dry,River,0,NA,River,,,,
DM15010,Sacramento,4/10/2015,2015,M,-1.1,-19.69,10.38,uncaged,dry,River,0,NA,River,,,,
DM15012,Sacramento,4/27/2015,2015,M,-0.8,-23.21,10.97,uncaged,dry,River,0,NA,River,,,,
DM15017,Sacramento,4/24/2015,2015,M,-1,-19.53,10.12,uncaged,dry,River,0,NA,River,,,,
DM15019,Sacramento,4/20/2015,2015,M,-1.1,-19.4,10.28,uncaged,dry,River,0,NA,River,,,,
DM15020,Sacramento,5/11/2015,2015,M,-2.1,-17.58,10.02,uncaged,dry,River,0,NA,River,,,,
DM15022,Sacramento,4/13/2015,2015,M,-0.9,-20.33,10.63,uncaged,dry,River,0,NA,River,,,,
DM15023,Sacramento,4/13/2015,2015,M,-1.2,-19.83,9.61,uncaged,dry,River,0,NA,River,,,,
DM15028,Sacramento,4/3/2015,2015,M,-0.8,-21.15,10.21,uncaged,dry,River,0,NA,River,,,,
DM15029,Sacramento,4/3/2015,2015,M,12.2,-20.18,11.94,uncaged,dry,River,0,NA,River,,,,
DM15030,Sacramento,2/9/2015,2015,M,15.2,-18.33,16.82,uncaged,dry,River,0,NA,River,,,,
DM15032,Sacramento,2/20/2015,2015,M,8.8,-20.95,13.34,uncaged,dry,River,0,NA,River,,,,
DM15040,Sacramento,1/20/2015,2015,M,8.4,-22.49,12.29,uncaged,dry,River,0,NA,River,,,,
DM15044,Sacramento,2/10/2015,2015,M,7.4,-24.37,11.99,uncaged,dry,River,0,NA,River,,,,
DM15045,Sacramento,2/10/2015,2015,M,4.7,-25.26,11.9,uncaged,dry,River,0,NA,River,,,,
DM15049,Sacramento,3/5/2015,2015,M,6.6,-26.12,11.37,uncaged,dry,River,0,NA,River,,,,
DM15050,Sacramento,2/24/2015,2015,M,10,-21.91,13.82,uncaged,dry,River,0,NA,River,,,,
DM15052,Sacramento,2/17/2015,2015,M,10.9,-20.83,14.24,uncaged,dry,River,0,NA,River,,,,
DM15053,Sacramento,2/17/2015,2015,M,13.6,-19.43,15.9,uncaged,dry,River,0,NA,River,,,,
DM15056,Sacramento,3/10/2015,2015,M,8.7,-23.14,12.34,uncaged,dry,River,0,NA,River,,,,
DM15058,Sacramento,3/17/2015,2015,M,6.4,-24.13,12.19,uncaged,dry,River,0,NA,River,,,,
DM15059,Sacramento,3/17/2015,2015,M,4.3,-24.41,11.69,uncaged,dry,River,0,NA,River,,,,
DM15060,Sacramento,1/6/2015,2015,M,8.4,-23.01,11.65,uncaged,dry,River,0,NA,River,,,,
DM15062,Sacramento,2/26/2015,2015,M,8.9,-24,13.39,uncaged,dry,River,0,NA,River,,,,
DM15063,Sacramento,2/19/2015,2015,M,9.2,-21.64,13.42,uncaged,dry,River,0,NA,River,,,,
DM15064,Sacramento,2/19/2015,2015,M,8.5,-23.33,13.18,uncaged,dry,River,0,NA,River,,,,
DM15065,Sacramento,3/24/2015,2015,M,3.1,-26.55,10.25,uncaged,dry,River,0,NA,River,,,,
DM15066,Sacramento,3/24/2015,2015,M,2.3,-25.92,10.66,uncaged,dry,River,0,NA,River,,,,
DM15071,Sacramento,3/3/2015,2015,M,9.1,-22.24,13.85,uncaged,dry,River,0,NA,River,,,,
DM15073,Sacramento,3/3/2015,2015,M,8.3,-23.23,12.38,uncaged,dry,River,0,NA,River,,,,
DM15074,Sacramento,3/3/2015,2015,M,9.3,-21.94,13.33,uncaged,dry,River,0,NA,River,,,,
DM15078,Sacramento,3/20/2015,2015,M,6.5,-22.58,13.7,uncaged,dry,River,0,NA,River,,,,
DM15091,Sacramento,3/17/2015,2015,M,1.4,-23.65,10.06,uncaged,dry,River,0,NA,River,,,,
DM15092,Sacramento,3/17/2015,2015,M,1.7,-22.88,10.33,uncaged,dry,River,0,NA,River,,,,
DM15094,Sacramento,2/9/2015,2015,M,3.6,-23.38,11.25,uncaged,dry,River,0,NA,River,,,,
DM15097,Sacramento,3/23/2015,2015,M,4.9,-23.47,12.62,uncaged,dry,River,0,NA,River,,,,
DM15098,Sacramento,4/14/2015,2015,M,-0.8,-20.76,10.38,uncaged,dry,River,0,NA,River,,,,
DM15101,Sacramento,4/9/2015,2015,M,-1.1,-20.32,9.83,uncaged,dry,River,0,NA,River,,,,
DM15102,Sacramento,3/6/2015,2015,M,7.6,-20.97,13.61,uncaged,dry,River,0,NA,River,,,,
DM15103,Sacramento,3/6/2015,2015,M,4.7,-23.4,11.98,uncaged,dry,River,0,NA,River,,,,
NP15001,Yolo Bypass,2/15/2015,2015,M,0.8,-30.35,10.1,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15002,Yolo Bypass,2/15/2015,2015,M,4.7,-26.5,11.52,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15003,Yolo Bypass,2/15/2015,2015,M,5.4,-26.48,11.48,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15004,Yolo Bypass,2/15/2015,2015,M,NA,-27.88,11.42,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15005,Yolo Bypass,2/15/2015,2015,M,1.6,-27.78,11.47,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15006,Yolo Bypass,2/15/2015,2015,M,4.3,-26.28,11.13,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15007,Yolo Bypass,2/15/2015,2015,M,5.7,-26.36,11.25,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15009,Yolo Bypass,2/15/2015,2015,M,2.2,-27.64,11.49,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15010,Yolo Bypass,2/15/2015,2015,M,4.2,-26.05,11.89,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP15011,Yolo Bypass,2/22/2015,2015,M,-1,-29.19,10.25,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15012,Yolo Bypass,2/22/2015,2015,M,-0.8,-29.27,10.7,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15013,Yolo Bypass,2/22/2015,2015,M,-3.2,-29.86,11.08,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15014,Yolo Bypass,2/22/2015,2015,M,-3.9,-30.94,10.95,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15015,Yolo Bypass,2/22/2015,2015,M,1.2,-28.04,10.97,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15016,Yolo Bypass,2/22/2015,2015,M,-1.3,-29.63,10.42,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15017,Yolo Bypass,2/22/2015,2015,M,-1.1,-28.87,10.84,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15018,Yolo Bypass,2/22/2015,2015,M,-2.6,-29.36,11.32,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15019,Yolo Bypass,2/22/2015,2015,M,0.8,-29.34,11.14,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15021,Yolo Bypass,2/22/2015,2015,M,-0.2,-29.52,10.68,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP15022,Yolo Bypass,2/27/2015,2015,M,-0.8,-28.53,11.19,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15023,Yolo Bypass,2/27/2015,2015,M,-0.9,-28.67,10.59,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15024,Yolo Bypass,2/27/2015,2015,M,-2.2,-29.89,10.08,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15025,Yolo Bypass,2/27/2015,2015,M,-2.9,-30.44,10.73,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15026,Yolo Bypass,2/27/2015,2015,M,-1.4,-28.93,10.63,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15027,Yolo Bypass,2/27/2015,2015,M,-3.9,-30.05,10.97,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15028,Yolo Bypass,2/27/2015,2015,M,-3,-30.42,11.19,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15029,Yolo Bypass,2/27/2015,2015,M,-3.5,-30.39,11.03,uncaged,dry,Floodplain,4,23,replicated fields,,,,
NP15030,Yolo Bypass,2/27/2015,2015,M,-3.1,-29.64,10.17,uncaged,dry,Floodplain,4,23,replicated fields,,,,
DM15001,Sacramento,5/13/2015,2015,S,-0.8,-27.99,10.18,uncaged,dry,River,,NA,River,,,,
DM15002,Sacramento,5/13/2015,2015,S,-1.33,-28.03,9.16,uncaged,dry,River,,NA,River,,,,
DM15006,Sacramento,5/16/2015,2015,S,-0.78,-27.24,9.9,uncaged,dry,River,,NA,River,,,,
DM15009,Sacramento,4/10/2015,2015,S,-0.2,-27.79,8.24,uncaged,dry,River,,NA,River,,,,
DM15010,Sacramento,4/10/2015,2015,S,-1.48,-29.26,9.05,uncaged,dry,River,,NA,River,,,,
DM15012,Sacramento,4/27/2015,2015,S,-1.84,-24.99,9.05,uncaged,dry,River,,NA,River,,,,
DM15017,Sacramento,4/24/2015,2015,S,-0.93,-25.28,8.72,uncaged,dry,River,,NA,River,,,,
DM15019,Sacramento,4/20/2015,2015,S,-1.19,-28.77,9.52,uncaged,dry,River,,NA,River,,,,
DM15020,Sacramento,5/11/2015,2015,S,-1.93,-23.54,8.06,uncaged,dry,River,,NA,River,,,,
DM15022,Sacramento,4/13/2015,2015,S,-2.05,-29.69,8.77,uncaged,dry,River,,NA,River,,,,
DM15023,Sacramento,4/13/2015,2015,S,-1.23,-28.24,6.68,uncaged,dry,River,,NA,River,,,,
DM15028,Sacramento,4/3/2015,2015,S,-0.02,-29.09,9.63,uncaged,dry,River,,NA,River,,,,
DM15029,Sacramento,4/3/2015,2015,S,1.6,-28.12,9,uncaged,dry,River,,NA,River,,,,
DM15030,Sacramento,2/9/2015,2015,S,2.23,-28.97,7.11,uncaged,dry,River,,NA,River,,,,
DM15032,Sacramento,2/20/2015,2015,S,6.22,-29.26,7.05,uncaged,dry,River,,NA,River,,,,
DM15040,Sacramento,1/20/2015,2015,S,2.93,-25.51,9.35,uncaged,dry,River,,NA,River,,,,
DM15044,Sacramento,2/10/2015,2015,S,2.69,-29.42,8.36,uncaged,dry,River,,NA,River,,,,
DM15045,Sacramento,2/10/2015,2015,S,3.15,-32.94,4.8,uncaged,dry,River,,NA,River,,,,
DM15049,Sacramento,3/5/2015,2015,S,3.04,-28.43,5.07,uncaged,dry,River,,NA,River,,,,
DM15050,Sacramento,2/24/2015,2015,S,3.24,-29.23,7.15,uncaged,dry,River,,NA,River,,,,
DM15052,Sacramento,2/17/2015,2015,S,5.49,-26.86,5.93,uncaged,dry,River,,NA,River,,,,
DM15053,Sacramento,2/17/2015,2015,S,3.18,-28.19,9.2,uncaged,dry,River,,NA,River,,,,
DM15056,Sacramento,3/10/2015,2015,S,2.48,-28.44,6.49,uncaged,dry,River,,NA,River,,,,
DM15058,Sacramento,3/17/2015,2015,S,1.72,-29.34,6.74,uncaged,dry,River,,NA,River,,,,
DM15059,Sacramento,3/17/2015,2015,S,3.32,-28.85,7.46,uncaged,dry,River,,NA,River,,,,
DM15060,Sacramento,1/6/2015,2015,S,-0.49,-31.79,5.21,uncaged,dry,River,,NA,River,,,,
DM15062,Sacramento,2/26/2015,2015,S,4.96,-36.48,6.54,uncaged,dry,River,,NA,River,,,,
DM15063,Sacramento,2/19/2015,2015,S,3.79,-30.11,4.75,uncaged,dry,River,,NA,River,,,,
DM15064,Sacramento,2/19/2015,2015,S,3.98,-31.16,4.89,uncaged,dry,River,,NA,River,,,,
DM15065,Sacramento,3/24/2015,2015,S,0.41,-27.73,8.72,uncaged,dry,River,,NA,River,,,,
DM15066,Sacramento,3/24/2015,2015,S,0.56,-28.14,6.41,uncaged,dry,River,,NA,River,,,,
DM15071,Sacramento,3/3/2015,2015,S,3.56,-29.39,4.87,uncaged,dry,River,,NA,River,,,,
DM15073,Sacramento,3/3/2015,2015,S,2.96,-30.33,7.39,uncaged,dry,River,,NA,River,,,,
DM15074,Sacramento,3/3/2015,2015,S,3.14,-29.58,6.05,uncaged,dry,River,,NA,River,,,,
DM15078,Sacramento,3/20/2015,2015,S,2.73,-27.74,6.8,uncaged,dry,River,,NA,River,,,,
DM15091,Sacramento,3/17/2015,2015,S,-0.18,-25.18,4.5,uncaged,dry,River,,NA,River,,,,
DM15092,Sacramento,3/17/2015,2015,S,0.84,-26.64,5.2,uncaged,dry,River,,NA,River,,,,
DM15094,Sacramento,2/9/2015,2015,S,1.06,-29.06,5.26,uncaged,dry,River,,NA,River,,,,
DM15097,Sacramento,3/23/2015,2015,S,4.87,-26.76,9.47,uncaged,dry,River,,NA,River,,,,
DM15098,Sacramento,4/14/2015,2015,S,-0.94,-22.57,1.67,uncaged,dry,River,,NA,River,,,,
DM15101,Sacramento,4/9/2015,2015,S,-1.46,-25.89,6.55,uncaged,dry,River,,NA,River,,,,
DM15102,Sacramento,3/6/2015,2015,S,0.74,-22.17,9.37,uncaged,dry,River,,NA,River,,,,
DM15103,Sacramento,3/6/2015,2015,S,2.33,-28.58,8.04,uncaged,dry,River,,NA,River,,,,
NA,Yolo Bypass,2/5/2015,2015,M,12.72,-22.4,9.24,uncaged,normal,River,0,0,hatchery,,,,
NA,Yolo Bypass,2/5/2015,2015,M,13.6,-19.57,11.86,uncaged,normal,River,0,0,hatchery,,,,
NA,Yolo Bypass,2/5/2015,2015,M,13.82,-22.5,10.19,uncaged,normal,River,0,0,hatchery,,,,
NP15001,Yolo Bypass,2/15/2015,2015,S,-4.1,-31.62,5.75,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15002,Yolo Bypass,2/15/2015,2015,S,2.46,-32.53,5.94,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15003,Yolo Bypass,2/15/2015,2015,S,-0.92,-32.66,6.71,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15004,Yolo Bypass,2/15/2015,2015,S,-6.09,-33.45,5.95,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15005,Yolo Bypass,2/15/2015,2015,S,-7.28,-32.96,6.2,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15006,Yolo Bypass,2/15/2015,2015,S,-3.39,-32.52,5.96,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15007,Yolo Bypass,2/15/2015,2015,S,-5.59,-34.28,4.93,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15009,Yolo Bypass,2/15/2015,2015,S,NA,NA,NA,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15010,Yolo Bypass,2/15/2015,2015,S,-6.7,-30.96,6.22,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP15011,Yolo Bypass,2/22/2015,2015,S,-5.28,-35.92,5.3,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15012,Yolo Bypass,2/22/2015,2015,S,-7.95,-35.27,5.95,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15013,Yolo Bypass,2/22/2015,2015,S,-9.95,-33.33,7.29,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15014,Yolo Bypass,2/22/2015,2015,S,-5.35,-31.34,8.02,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15015,Yolo Bypass,2/22/2015,2015,S,-8.11,-34.69,5.9,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15016,Yolo Bypass,2/22/2015,2015,S,-7.41,-35.59,6.02,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15017,Yolo Bypass,2/22/2015,2015,S,-5.6,-31.85,4.92,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15018,Yolo Bypass,2/22/2015,2015,S,-9.33,-34.13,7.48,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15019,Yolo Bypass,2/22/2015,2015,S,-5.85,-34.3,7.05,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15021,Yolo Bypass,2/22/2015,2015,S,-7.84,-35.68,5.33,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP15022,Yolo Bypass,2/27/2015,2015,S,-7.52,-32.37,7.83,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15023,Yolo Bypass,2/27/2015,2015,S,-6.15,-34.56,5.4,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15024,Yolo Bypass,2/27/2015,2015,S,-6.47,-33.69,7.24,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15025,Yolo Bypass,2/27/2015,2015,S,-7.58,-33.83,7.04,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15026,Yolo Bypass,2/27/2015,2015,S,-3.8,-36.26,5.39,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15027,Yolo Bypass,2/27/2015,2015,S,-5.29,-33.54,6.87,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15028,Yolo Bypass,2/27/2015,2015,S,-7.33,-34.22,7.65,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15029,Yolo Bypass,2/27/2015,2015,S,-5.84,-30.23,7.1,uncaged,dry,Floodplain,,23,replicated fields,,,,
NP15030,Yolo Bypass,2/27/2015,2015,S,-5.9,-30.17,5.82,uncaged,dry,Floodplain,,23,replicated fields,,,,
DM16015,Sacramento,3/3/2016,2016,M,14.13,-17.82,16.7,uncaged,normal,River,0,NA,River,,,,
DM16016,Sacramento,3/11/2016,2016,M,5.6,-24.2,12.49,uncaged,normal,River,0,NA,River,,,,
DM16019,Sacramento,4/18/2016,2016,M,11.5,-20.25,11.04,uncaged,normal,River,0,NA,River,,,,
DM16020,Sacramento,4/8/2016,2016,M,6.1,-21.78,10.99,uncaged,normal,River,0,NA,River,,,,
DM16022,Sacramento,4/29/2016,2016,M,13.8,-19.62,11.22,uncaged,normal,River,0,NA,River,,,,
DM16023,Sacramento,3/11/2016,2016,M,4.8,-22.32,13.81,uncaged,normal,River,0,NA,River,,,,
DM16027,Sacramento,5/2/2016,2016,M,7.56,-21.14,11.21,uncaged,normal,River,0,NA,River,,,,
DM16027,Sacramento,5/2/2016,2016,M,7.56,-21.14,11.21,uncaged,normal,River,0,NA,River,,,,
DM16028,Sacramento,5/9/2016,2016,M,1.1,-22.75,13.31,uncaged,normal,River,0,NA,River,,,,
DM16029,Sacramento,3/25/2016,2016,M,1.8,-22.48,10.9,uncaged,normal,River,0,NA,River,,,,
DM16033,Sacramento,3/21/2016,2016,M,10.2,-20.15,15.51,uncaged,normal,River,0,NA,River,,,,
DM16034,Sacramento,2/16/2016,2016,M,5.3,-26.94,10.8,uncaged,normal,River,0,NA,River,,,,
DM16036,Sacramento,3/21/2016,2016,M,7.6,-21.3,14.28,uncaged,normal,River,0,NA,River,,,,
DM16037,Sacramento,5/11/2016,2016,M,5.8,-23.53,7.45,uncaged,normal,River,0,NA,River,,,,
DM16040,Sacramento,4/1/2016,2016,M,2.9,-24.07,11.76,uncaged,normal,River,0,NA,River,,,,
DM16042,Sacramento,4/25/2016,2016,M,-1.1,-21.37,10.32,uncaged,normal,River,0,NA,River,,,,
DM16044,Sacramento,4/18/2016,2016,M,12.5,-20.06,12.14,uncaged,normal,River,0,NA,River,,,,
DM16047,Sacramento,4/7/2016,2016,M,4.9,-26.04,11.95,uncaged,normal,River,0,NA,River,,,,
DM16048,Sacramento,2/8/2016,2016,M,-4.22,-33.82,6.26,uncaged,normal,River,0,NA,River,,,,
DM16049,Sacramento,4/18/2016,2016,M,12.6,-19.8,11.97,uncaged,normal,River,0,NA,River,,,,
DM16050,Sacramento,5/11/2016,2016,M,-1.6,-20.2,10.04,uncaged,normal,River,0,NA,River,,,,
DM16150,Sacramento,5/11/2016,2016,M,3.4,-25.9,11.81,uncaged,normal,River,0,NA,River,,,,
DM16051,Sacramento,4/1/2016,2016,M,-3.92,-32.93,5.63,uncaged,normal,River,0,NA,River,,,,
DM16052,Sacramento,4/1/2016,2016,M,10.9,-20.26,11.42,uncaged,normal,River,0,NA,River,,,,
DM16052,Sacramento,4/1/2016,2016,M,10.9,-20.26,11.42,uncaged,normal,River,0,NA,River,,,,
DM16053,Sacramento,5/9/2016,2016,M,-1.39,-20.85,9.89,uncaged,normal,River,0,NA,River,,,,
DM16060,Sacramento,5/16/2016,2016,M,15.7,-16.78,18.2,uncaged,normal,River,0,NA,River,,,,
DM16060,Sacramento,5/16/2016,2016,M,15.7,-16.78,18.2,uncaged,normal,River,0,NA,River,,,,
DM16062,Sacramento,5/11/2016,2016,M,-0.72,-22.39,10.09,uncaged,normal,River,0,NA,River,,,,
DM16062,Sacramento,5/11/2016,2016,M,-0.72,-22.39,10.09,uncaged,normal,River,0,NA,River,,,,
DM16063,Sacramento,3/16/2016,2016,M,10.8,-20.66,14.67,uncaged,normal,River,0,NA,River,,,,
DM16065,Sacramento,2/8/2016,2016,M,7.85,-23.67,12.84,uncaged,normal,River,0,NA,River,,,,
DM16066,Sacramento,4/11/2016,2016,M,6.09,-26.94,10.65,uncaged,normal,River,0,NA,River,,,,
DM16066,Sacramento,4/11/2016,2016,M,6.09,-26.94,10.65,uncaged,normal,River,0,NA,River,,,,
DM16068,Sacramento,4/15/2016,2016,M,12.7,-20.2,11.58,uncaged,normal,River,0,NA,River,,,,
DM16075,Sacramento,4/8/2016,2016,M,8.65,-21.21,11.1,uncaged,normal,River,0,NA,River,,,,
DM16076,Sacramento,2/24/2016,2016,M,13.46,-21.49,11.18,uncaged,normal,River,0,NA,River,,,,
DM16077,Sacramento,2/24/2016,2016,M,16.85,-18.53,17.37,uncaged,normal,River,0,NA,River,,,,
DM16080,Sacramento,4/18/2016,2016,M,13,-21.35,11.19,uncaged,normal,River,0,NA,River,,,,
DM16080,Sacramento,4/18/2016,2016,M,13,-21.35,11.19,uncaged,normal,River,0,NA,River,,,,
DM16081,Sacramento,2/18/2016,2016,M,11.99,-22.68,14.53,uncaged,normal,River,0,NA,River,,,,
DM16082,Sacramento,4/15/2016,2016,M,13.7,-19.81,11.68,uncaged,normal,River,0,NA,River,,,,
DM16083,Sacramento,2/18/2016,2016,M,11.34,-22.7,14.15,uncaged,normal,River,0,NA,River,,,,
DM16084,Sacramento,3/3/2016,2016,M,7.6,-23.03,12.74,uncaged,normal,River,0,NA,River,,,,
DM16085,Sacramento,3/11/2016,2016,M,4.05,-25.24,10.9,uncaged,normal,River,0,NA,River,,,,
DM16086,Sacramento,3/15/2016,2016,M,16.55,-17.25,18.16,uncaged,normal,River,0,NA,River,,,,
DM16087,Sacramento,2/24/2016,2016,M,14.75,-18.01,17.25,uncaged,normal,River,0,NA,River,,,,
DM16088,Sacramento,3/3/2016,2016,M,13.39,-18.62,16.57,uncaged,normal,River,0,NA,River,,,,
DM16147,Sacramento,3/28/2016,2016,M,0.5,-23.13,9.32,uncaged,normal,River,0,NA,River,,,,
DM16152,Sacramento,2/5/2016,2016,M,8.3,-22.24,13.57,uncaged,normal,River,0,NA,River,,,,
DM16153,Sacramento,2/18/2016,2016,M,4.9,-26.44,11.1,uncaged,normal,River,0,NA,River,,,,
DM16155,Sacramento,4/7/2016,2016,M,2.3,-26.81,10.42,uncaged,normal,River,0,NA,River,,,,
DM16156,Sacramento,3/15/2016,2016,M,12.2,-20.07,16.35,uncaged,normal,River,0,NA,River,,,,
DM16159,Sacramento,4/29/2016,2016,M,12.8,-19.92,11.26,uncaged,normal,River,0,NA,River,,,,
DM16160,Sacramento,2/18/2016,2016,M,6.4,-25.57,11.77,uncaged,normal,River,0,NA,River,,,,
DM16162,Sacramento,2/5/2016,2016,M,13.3,-19.71,15.78,uncaged,normal,River,0,NA,River,,,,
